;count;cumul_count;year;trim;id_trim
1;2358;2358;2017;T1;1
2;3364;5722;2017;T2;2
3;2973;8695;2017;T3;3
4;2242;10937;2017;T4;4
5;2177;2177;2018;T1;1
6;2849;5026;2018;T2;2
7;2741;7767;2018;T3;3
8;1822;9589;2018;T4;4
9;1340;1340;2019;T1;1
10;1939;3279;2019;T2;2
11;1661;4940;2019;T3;3
12;822;5762;2019;T4;4
13;493;493;2020;T1;1
14;88;581;2020;T2;2
15;503;1084;2020;T3;3
16;96;1180;2020;T4;4
17;16;16;2021;T1;1
18;84;100;2021;T2;2
19;132;232;2021;T3;3
20;16;248;2021;T4;4
21;31;31;2022;T1;1
22;79;110;2022;T2;2
23;32;142;2022;T3;3
24;23;165;2022;T4;4
25;42;42;2023;T1;1
26;43;85;2023;T2;2
27;31;116;2023;T3;3
28;33;149;2023;T4;4
